Date,WMT,MSFT,V
2019-08-01,110.032547,134.620514,178.374466
2019-09-01,114.851578,136.215134,169.928467
2019-10-01,113.477386,140.467224,176.695557
2019-11-01,115.248360,148.315094,182.277176
2019-12-01,115.006416,155.032852,185.937088
2020-01-01,111.293701,167.350922,196.891418
2020-02-01,104.673843,159.269943,179.861237
2020-03-01,110.448013,155.466171,159.667770
2020-04-01,118.679436,176.660294,177.109116
2020-05-01,121.130165,180.642807,193.480209
2020-06-01,117.465691,201.173264,191.749405
2020-07-01,126.899818,202.656036,188.999771
2020-08-01,136.167221,222.940445,210.431000
2020-09-01,137.770813,208.417557,198.799469
2020-10-01,136.628555,200.629028,180.646393
2020-11-01,150.453873,212.123566,209.118729
2020-12-01,141.945969,220.974640,217.777298
2021-01-01,138.847656,230.452637,192.408295
2021-02-01,128.401199,230.869919,211.464920
2021-03-01,134.242111,234.777374,211.135071
2021-04-01,138.851746,251.118271,232.903732
2021-05-01,140.955704,248.628799,226.661331
2021-06-01,140.502975,270.382385,233.501694
2021-07-01,142.027359,284.365601,246.054565